GeneA	GeneB	Zscore	Pvalue
GSTP1	CNN1	0.726367250549443	0.0204678362573099
EDNRA	CNN1	0.0591685674570644	0.805555555555556
MYLK	CNN1	0.29755178938882	0.226608187134503
ID3	CNN1	0.528962763922462	0.043859649122807
TPM2	CNN1	0.325355776765222	0.18859649122807
FHL1	CNN1	-0.0771036773581563	0.755847953216374
FERMT2	CNN1	0.0687932785135413	0.774853801169591
MYH11	CNN1	0.284468992070307	0.25
FLNA	CNN1	0.323422357680902	0.191520467836257
KCNMB1	CNN1	-0.0725451055085078	0.769005847953216
CAV1	COX7A1	0.308020067379364	0.210526315789474
GJA1	COX7A1	0.237931609860916	0.33187134502924
GAS1	COX7A1	0.84172028244125	0.0146198830409357
FILIP1L	COX7A1	0.222384951610681	0.365497076023392
PCP4	COX7A1	0.38821836579886	0.114035087719298
ACTG2	COX7A1	0.102969323782937	0.66812865497076
GSTP1	COX7A1	0.76336189513968	0.0160818713450292
EDNRA	COX7A1	0.0213518191498075	0.925438596491228
MYLK	COX7A1	0.12377126771005	0.603801169590643
ID3	COX7A1	0.705179204657154	0.0219298245614035
TPM2	COX7A1	0.0389550161934453	0.878654970760234
FHL1	COX7A1	0.180932759444627	0.457602339181287
FERMT2	COX7A1	-0.0754994017859472	0.758771929824561
MYH11	COX7A1	0.265982742267528	0.280701754385965
FLNA	COX7A1	0.220493523803756	0.366959064327485
KCNMB1	COX7A1	0.189134856201512	0.440058479532164
CNN1	COX7A1	0.231081254920339	0.339181286549708
CAV1	PPP1R12B	-0.00158015660747965	0.988304093567251
GJA1	PPP1R12B	0.203268236858376	0.409356725146199
GAS1	PPP1R12B	0.717932488915289	0.0219298245614035
FILIP1L	PPP1R12B	-0.0463706810016443	0.85672514619883
PCP4	PPP1R12B	0.336222317961298	0.172514619883041
ACTG2	PPP1R12B	0.244869722512587	0.321637426900585
GSTP1	PPP1R12B	0.502244255558421	0.054093567251462
EDNRA	PPP1R12B	0.0369479444677322	0.885964912280702
MYLK	PPP1R12B	0.250597163556638	0.308479532163743
ID3	PPP1R12B	0.418944893268506	0.0921052631578947
TPM2	PPP1R12B	0.152141702958956	0.521929824561403
FHL1	PPP1R12B	-0.111467900398327	0.64327485380117
FERMT2	PPP1R12B	0.184031065279132	0.453216374269006
MYH11	PPP1R12B	0.199371976731611	0.415204678362573
FLNA	PPP1R12B	0.174853800388041	0.470760233918129
KCNMB1	PPP1R12B	-0.154963229588479	0.516081871345029
CNN1	PPP1R12B	0.0212778903170016	0.925438596491228
COX7A1	PPP1R12B	0.161560623564929	0.498538011695906
